unique_song_id,song_title,artist,primary_theme,secondary_theme,primary_emotion,emotional_valence,agency,relationship_focus,message_orientation,message_score,value_signal,evidence_basis,confidence_score,human_review_needed,rationale,source_batch_file
1,Luther,Kendrick Lamar & SZA,Romantic Love & Devotion,Desire & Intimacy,Hope,2,High,Stable Love,Constructive/Encouraging,2,Love/Commitment,Lyrics + Context,4,No,Duet expresses devoted romantic love and mutual support in a warm affectionate tone.,classified_batch_01.csv
2,TV Off,Kendrick Lamar featuring Lefty Gunplay,Confidence/Boldness/Pride,Conflict/Revenge/Defiance,Confidence,0,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Self-Worth,Context Only,3,Yes,Boastful high-energy track using slang and confrontational posturing to assert confidence and dominance.,classified_batch_01.csv
3,Not Like Us,Kendrick Lamar,Conflict/Revenge/Defiance,Confidence/Boldness/Pride,Anger,-1,High,No Romantic/Intimate Focus,Potentially Concerning,-2,Revenge/Conflict,Lyrics + Context,4,Yes,Widely known diss track centered on rivalry accusations and retaliation against another artist.,classified_batch_01.csv
4,Squabble Up,Kendrick Lamar,Confidence/Boldness/Pride,Conflict/Revenge/Defiance,Confidence,1,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Self-Worth,Context Only,3,Yes,High-energy track using street slang and swagger to project confidence and toughness.,classified_batch_01.csv
5,Nokia,Drake,Desire & Intimacy,Celebration & Pleasure,Desire,1,High,Desire,Pleasure/Escapist,-1,Desire/Pleasure,Lyrics + Context,4,No,Upbeat song about pursuing a romantic connection through texting and playful attraction.,classified_batch_01.csv
6,All the Way,BigXthaPlug featuring Bailey Zimmerman,Heartbreak & Loss,Conflict/Revenge/Defiance,Mixed,-2,Mixed,Separation,Critical/Reflective,0,Growth/Accountability,Lyrics + Context,4,No,Genre-blending breakup anthem demanding an honest clean break amid anger and heartbreak.,classified_batch_02.csv
7,Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red & Lil Wayne",Confidence/Boldness/Pride,Desire & Intimacy,Confidence,1,High,Desire,Ambiguous/Mixed,0,Desire/Pleasure,Lyrics + Context,4,Yes,High-energy posse cut blending sexual bravado confident swagger and confrontational posturing toward critics.,classified_batch_02.csv
8,Whatchu Kno About Me,GloRilla & Sexyy Red,Status/Wealth/Success,Confidence/Boldness/Pride,Confidence,2,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Status/Materialism,Lyrics + Context,4,No,Celebratory anthem flaunting wealth beauty and success with unapologetic confident swagger.,classified_batch_02.csv
9,Peekaboo,Kendrick Lamar featuring AzChike,Conflict/Revenge/Defiance,Confidence/Boldness/Pride,Confidence,-1,High,No Romantic/Intimate Focus,Potentially Concerning,-2,Revenge/Conflict,Lyrics + Context,4,Yes,Aggressive dominance track blending street violence threats confident swagger and industry critique.,classified_batch_02.csv
10,Denial Is a River,Doechii,Identity & Self-Discovery,Pain/Numbness/Escapism,Mixed,-1,Mixed,Separation,Critical/Reflective,0,Growth/Accountability,Lyrics + Context,4,Yes,Therapy-style verses process self-deception addiction and past betrayal with humor and self-awareness.,classified_batch_02.csv
11,Timeless,The Weeknd & Playboi Carti,Status/Wealth/Success,Confidence/Boldness/Pride,Confidence,1,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Status/Materialism,Lyrics + Context,4,Yes,Braggadocious anthem about fame wealth and legacy with brief hints of substance use and inner struggle.,classified_batch_03.csv
12,Mutt,Leon Thomas,Romantic Love & Devotion,Identity & Self-Discovery,Longing,0,Mixed,New Love,Critical/Reflective,1,Growth/Accountability,Lyrics + Context,4,Yes,Soulful track uses a dog metaphor for messy self-aware vulnerability and effort to trust in love.,classified_batch_03.csv
13,30 for 30,SZA with Kendrick Lamar,Confidence/Boldness/Pride,Conflict/Revenge/Defiance,Confidence,1,High,No Romantic/Intimate Focus,Ambiguous/Mixed,0,Self-Worth,Lyrics + Context,4,Yes,Confident duet asserting self-worth and cutting off inauthentic people amid embedded industry rivalry references.,classified_batch_03.csv
14,Cry for Me,The Weeknd,Heartbreak & Loss,Pain/Numbness/Escapism,Sadness,-2,Low,Separation,Potentially Concerning,-2,Numbness/Avoidance,Lyrics + Context,4,Yes,Raw breakup ballad using alcohol and isolation to cope with heartbreak longing and self-destructive despair.,classified_batch_03.csv
15,Burning Blue,Mariah the Scientist,Romantic Love & Devotion,Desire & Intimacy,Desire,1,Mixed,New Love,Ambiguous/Mixed,0,Love/Commitment,Lyrics + Context,3,Yes,Passionate love song about lowering emotional guard and devoted loyalty amid romantic risk.,classified_batch_03.csv
16,Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain",Celebration & Pleasure,Romantic Love & Devotion,Mixed,0,Mixed,Desire,Ambiguous/Mixed,-1,Freedom/Escape,Lyrics + Context,3,Yes,Toxic party anthem blending wealth flexing and casual hookups with genuine longing for real love.,classified_batch_04.csv
17,Like Him,"Tyler, the Creator featuring Lola Young",Identity & Self-Discovery,Hope/Healing/Resilience,Mixed,-1,Mixed,No Romantic/Intimate Focus,Critical/Reflective,1,Growth/Accountability,Lyrics + Context,4,Yes,Reflective ballad processes identity and an absent father before resolving toward self-acceptance and family forgiveness.,classified_batch_04.csv
18,Heart of a Woman,Summer Walker,Romantic Love & Devotion,Heartbreak & Loss,Sadness,-1,Mixed,Conflict,Potentially Concerning,-1,Love/Commitment,Lyrics + Context,4,Yes,R&B ballad about staying in a toxic relationship enduring mistreatment out of deep love and loyalty.,classified_batch_04.csv
19,Residuals,Chris Brown,Heartbreak & Loss,Pain/Numbness/Escapism,Longing,-2,Low,Separation,Ambiguous/Mixed,-1,Numbness/Avoidance,Lyrics + Context,4,Yes,Breakup ballad reflecting on lingering attachment and jealousy over an ex's new relationship.,classified_batch_04.csv
